INFO 2025-04-25 11:36:05,329 autoreload Watching for file changes with StatReloader
INFO 2025-04-25 11:36:39,752 basehttp "OPTIONS /api/v1/users/me/ HTTP/1.1" 200 0
INFO 2025-04-25 11:36:39,759 basehttp "GET /media/avatars/5e4e5edd-8d5b-46d3-940b-bb49437ef835.jpg HTTP/1.1" 200 26243
INFO 2025-04-25 11:36:39,765 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 454
INFO 2025-04-25 11:36:49,271 basehttp "OPTIONS /api/v1/tenants/?search=&status=&page=1&page_size=10 HTTP/1.1" 200 0
INFO 2025-04-25 11:36:49,293 basehttp "GET /api/v1/tenants/?search=&status=&page=1&page_size=10 HTTP/1.1" 200 1624
INFO 2025-04-25 11:37:57,690 basehttp "GET /api/v1/tenants/?search=&status=&page=1&page_size=10 HTTP/1.1" 200 1624
INFO 2025-04-25 11:38:00,315 basehttp "GET /api/v1/tenants/?search=&status=&page=1&page_size=10 HTTP/1.1" 200 1624
WARNING 2025-04-25 11:41:22,842 log Not Found: /
WARNING 2025-04-25 11:41:22,842 basehttp "GET / HTTP/1.1" 404 3729
WARNING 2025-04-25 11:41:22,848 log Not Found: /
WARNING 2025-04-25 11:41:22,848 basehttp "GET / HTTP/1.1" 404 3729
WARNING 2025-04-25 11:41:22,979 log Not Found: /favicon.ico
WARNING 2025-04-25 11:41:22,980 basehttp "GET /favicon.ico HTTP/1.1" 404 3780
WARNING 2025-04-25 11:41:23,005 log Not Found: /favicon.ico
WARNING 2025-04-25 11:41:23,006 basehttp "GET /favicon.ico HTTP/1.1" 404 3780
INFO 2025-04-25 11:41:35,640 basehttp "GET /api/v1/docs/ HTTP/1.1" 200 4651
INFO 2025-04-25 11:41:35,672 basehttp "GET /static/drf_spectacular_sidecar/swagger-ui-dist/swagger-ui-bundle.js HTTP/1.1" 304 0
INFO 2025-04-25 11:41:35,672 basehttp "GET /static/drf_spectacular_sidecar/swagger-ui-dist/swagger-ui.css HTTP/1.1" 304 0
INFO 2025-04-25 11:41:35,672 basehttp "GET /static/drf_spectacular_sidecar/swagger-ui-dist/swagger-ui-standalone-preset.js HTTP/1.1" 304 0
INFO 2025-04-25 11:41:35,848 basehttp "GET /api/v1/schema/ HTTP/1.1" 200 177580
WARNING 2025-04-25 11:41:57,923 log Forbidden: /api/v1/tenants/
WARNING 2025-04-25 11:41:57,923 basehttp "POST /api/v1/tenants/ HTTP/1.1" 403 87
INFO 2025-04-25 12:05:31,945 autoreload D:\GitHub\integrated_project\core\settings.py changed, reloading.
